team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2,Pld1,W1,L1,D1,Pts1,Pld2,W2,L2,D2,Pts2
jaipur pink panthers,bengaluru bulls,30.0,21.0,season 3,14.0,364.0,14.0,362.0,14.0,4.0,8.0,2.0,28.0,14.0,2.0,12.0,0.0,14.0
puneri paltan,dabang delhi,32.0,22.0,season 3,16.0,510.0,14.0,384.0,14.0,7.0,4.0,3.0,48.0,14.0,1.0,12.0,1.0,11.0
telugu titans,bengaluru bulls,40.0,22.0,season 3,14.0,427.0,14.0,362.0,14.0,7.0,7.0,0.0,38.0,14.0,2.0,12.0,0.0,14.0
puneri paltan,jaipur pink panthers,33.0,18.0,season 3,16.0,510.0,14.0,364.0,14.0,7.0,4.0,3.0,48.0,14.0,4.0,8.0,2.0,28.0
bengal warriors,jaipur pink panthers,34.0,18.0,season 3,16.0,460.0,14.0,364.0,14.0,9.0,5.0,0.0,47.0,14.0,4.0,8.0,2.0,28.0
u mumba,bengal warriors,30.0,17.0,season 3,16.0,502.0,16.0,460.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,47.0
patna pirates,jaipur pink panthers,47.0,24.0,season 3,16.0,594.0,14.0,364.0,14.0,10.0,2.0,2.0,58.0,14.0,4.0,8.0,2.0,28.0
telugu titans,dabang delhi,44.0,36.0,season 3,14.0,427.0,14.0,384.0,14.0,7.0,7.0,0.0,38.0,14.0,1.0,12.0,1.0,11.0
u mumba,bengaluru bulls,39.0,18.0,season 3,16.0,502.0,14.0,362.0,14.0,12.0,2.0,0.0,60.0,14.0,2.0,12.0,0.0,14.0
patna pirates,dabang delhi,67.0,34.0,season 3,16.0,594.0,14.0,384.0,14.0,10.0,2.0,2.0,58.0,14.0,1.0,12.0,1.0,11.0
puneri paltan,telugu titans,41.0,24.0,season 3,16.0,510.0,14.0,427.0,14.0,7.0,4.0,3.0,48.0,14.0,7.0,7.0,0.0,38.0
puneri paltan,bengaluru bulls,44.0,27.0,season 3,16.0,510.0,14.0,362.0,14.0,7.0,4.0,3.0,48.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,dabang delhi,37.0,31.0,season 3,16.0,460.0,14.0,384.0,14.0,9.0,5.0,0.0,47.0,14.0,1.0,12.0,1.0,11.0
u mumba,jaipur pink panthers,35.0,21.0,season 3,16.0,502.0,14.0,364.0,14.0,12.0,2.0,0.0,60.0,14.0,4.0,8.0,2.0,28.0
telugu titans,patna pirates,42.0,41.0,season 3,14.0,427.0,16.0,594.0,14.0,7.0,7.0,0.0,38.0,14.0,10.0,2.0,2.0,58.0
u mumba,puneri paltan,30.0,27.0,season 3,16.0,502.0,16.0,510.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,4.0,3.0,48.0
bengal warriors,bengaluru bulls,26.0,22.0,season 3,16.0,460.0,14.0,362.0,14.0,9.0,5.0,0.0,47.0,14.0,2.0,12.0,0.0,14.0
u mumba,telugu titans,38.0,22.0,season 3,16.0,502.0,14.0,427.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,7.0,0.0,38.0
puneri paltan,bengal warriors,43.0,19.0,season 3,16.0,510.0,16.0,460.0,14.0,7.0,4.0,3.0,48.0,14.0,9.0,5.0,0.0,47.0
u mumba,dabang delhi,36.0,20.0,season 3,16.0,502.0,14.0,384.0,14.0,12.0,2.0,0.0,60.0,14.0,1.0,12.0,1.0,11.0
patna pirates,puneri paltan,40.0,21.0,season 3,16.0,594.0,16.0,510.0,14.0,10.0,2.0,2.0,58.0,14.0,7.0,4.0,3.0,48.0
u mumba,bengal warriors,41.0,29.0,season 3,16.0,502.0,16.0,460.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,47.0
puneri paltan,bengal warriors,31.0,27.0,season 3,16.0,510.0,16.0,460.0,14.0,7.0,4.0,3.0,48.0,14.0,9.0,5.0,0.0,47.0
