team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2
telugu titans,u mumba,37.0,32.0,season 5,22.0,696.0,22.0,707.0
haryana steelers,u.p. yoddha,36.0,29.0,season 5,23.0,727.0,23.0,762.0
puneri paltan,patna pirates,47.0,42.0,season 5,24.0,766.0,26.0,1050.0
jaipur pink panthers,u.p. yoddha,24.0,22.0,season 5,,,23.0,762.0
gujarat fortunegiants,puneri paltan,35.0,21.0,season 5,24.0,775.0,24.0,766.0
bengal warriors,u.p. yoddha,32.0,31.0,season 5,24.0,749.0,23.0,762.0
haryana steelers,dabang delhi,27.0,25.0,season 5,23.0,727.0,,
u.p. yoddha,telugu titans,25.0,23.0,season 5,23.0,762.0,22.0,696.0
jaipur pink panthers,u mumba,39.0,36.0,season 5,,,22.0,707.0
patna pirates,tamil thalaivas,35.0,24.0,season 5,26.0,1050.0,22.0,681.0
puneri paltan,u mumba,26.0,24.0,season 5,24.0,766.0,22.0,707.0
bengal warriors,bengaluru bulls,32.0,26.0,season 5,24.0,749.0,22.0,689.0
dabang delhi,u mumba,33.0,32.0,season 5,,,22.0,707.0
u mumba,haryana steelers,38.0,32.0,season 5,22.0,707.0,23.0,727.0
telugu titans,tamil thalaivas,33.0,28.0,season 5,22.0,696.0,22.0,681.0
u mumba,jaipur pink panthers,36.0,32.0,season 5,22.0,707.0,,
bengal warriors,patna pirates,41.0,38.0,season 5,24.0,749.0,26.0,1050.0
haryana steelers,gujarat fortunegiants,42.0,36.0,season 5,23.0,727.0,24.0,775.0
jaipur pink panthers,gujarat fortunegiants,31.0,25.0,season 5,,,24.0,775.0
bengal warriors,tamil thalaivas,29.0,25.0,season 5,24.0,749.0,22.0,681.0
patna pirates,jaipur pink panthers,47.0,21.0,season 5,26.0,1050.0,,
haryana steelers,bengal warriors,36.0,29.0,season 5,23.0,727.0,24.0,749.0
dabang delhi,bengaluru bulls,38.0,30.0,season 5,,,22.0,689.0
u mumba,bengal warriors,37.0,31.0,season 5,22.0,707.0,24.0,749.0
puneri paltan,telugu titans,42.0,37.0,season 5,24.0,766.0,22.0,696.0
u mumba,patna pirates,51.0,41.0,season 5,22.0,707.0,26.0,1050.0
haryana steelers,bengaluru bulls,38.0,31.0,season 5,23.0,727.0,22.0,689.0
bengaluru bulls,puneri paltan,24.0,20.0,season 5,22.0,689.0,24.0,766.0
telugu titans,haryana steelers,37.0,19.0,season 5,22.0,696.0,23.0,727.0
bengal warriors,telugu titans,32.0,31.0,season 5,24.0,749.0,22.0,696.0
haryana steelers,dabang delhi,27.0,24.0,season 5,23.0,727.0,,
tamil thalaivas,u.p. yoddha,34.0,33.0,season 5,22.0,681.0,23.0,762.0
puneri paltan,haryana steelers,38.0,22.0,season 5,24.0,766.0,23.0,727.0
patna pirates,telugu titans,46.0,30.0,season 5,26.0,1050.0,22.0,696.0
gujarat fortunegiants,u mumba,39.0,28.0,season 5,24.0,775.0,22.0,707.0
patna pirates,u.p. yoddha,45.0,42.0,season 5,26.0,1050.0,23.0,762.0
jaipur pink panthers,dabang delhi,36.0,25.0,season 5,,,,
puneri paltan,haryana steelers,37.0,25.0,season 5,24.0,766.0,23.0,727.0
patna pirates,bengaluru bulls,36.0,32.0,season 5,26.0,1050.0,22.0,689.0
gujarat fortunegiants,u mumba,45.0,23.0,season 5,24.0,775.0,22.0,707.0
patna pirates,tamil thalaivas,41.0,39.0,season 5,26.0,1050.0,22.0,681.0
haryana steelers,jaipur pink panthers,30.0,26.0,season 5,23.0,727.0,,
u.p. yoddha,patna pirates,46.0,41.0,season 5,23.0,762.0,26.0,1050.0
u mumba,dabang delhi,30.0,28.0,season 5,22.0,707.0,,
bengal warriors,bengaluru bulls,33.0,29.0,season 5,24.0,749.0,22.0,689.0
puneri paltan,dabang delhi,34.0,29.0,season 5,24.0,766.0,,
tamil thalaivas,bengal warriors,33.0,32.0,season 5,22.0,681.0,24.0,749.0
haryana steelers,dabang delhi,42.0,24.0,season 5,23.0,727.0,,
tamil thalaivas,gujarat fortunegiants,35.0,34.0,season 5,22.0,681.0,24.0,775.0
patna pirates,dabang delhi,36.0,34.0,season 5,26.0,1050.0,,
telugu titans,jaipur pink panthers,41.0,34.0,season 5,22.0,696.0,,
u.p. yoddha,dabang delhi,45.0,16.0,season 5,23.0,762.0,,
u mumba,bengaluru bulls,42.0,30.0,season 5,22.0,707.0,22.0,689.0
telugu titans,dabang delhi,44.0,22.0,season 5,22.0,696.0,,
puneri paltan,tamil thalaivas,33.0,20.0,season 5,24.0,766.0,22.0,681.0
gujarat fortunegiants,patna pirates,30.0,29.0,season 5,24.0,775.0,26.0,1050.0
puneri paltan,u.p. yoddha,34.0,33.0,season 5,24.0,766.0,23.0,762.0
jaipur pink panthers,tamil thalaivas,27.0,26.0,season 5,,,22.0,681.0
bengal warriors,jaipur pink panthers,32.0,31.0,season 5,24.0,749.0,,
u mumba,tamil thalaivas,33.0,30.0,season 5,22.0,707.0,22.0,681.0
gujarat fortunegiants,dabang delhi,42.0,22.0,season 5,24.0,775.0,,
telugu titans,tamil thalaivas,58.0,37.0,season 5,22.0,696.0,22.0,681.0
haryana steelers,u mumba,41.0,30.0,season 5,23.0,727.0,22.0,707.0
u.p. yoddha,tamil thalaivas,37.0,33.0,season 5,23.0,762.0,22.0,681.0
bengaluru bulls,tamil thalaivas,45.0,35.0,season 5,22.0,689.0,22.0,681.0
gujarat fortunegiants,jaipur pink panthers,29.0,23.0,season 5,24.0,775.0,,
bengal warriors,puneri paltan,25.0,19.0,season 5,24.0,749.0,24.0,766.0
haryana steelers,telugu titans,32.0,30.0,season 5,23.0,727.0,22.0,696.0
jaipur pink panthers,u mumba,36.0,32.0,season 5,,,22.0,707.0
gujarat fortunegiants,patna pirates,33.0,29.0,season 5,24.0,775.0,26.0,1050.0
puneri paltan,jaipur pink panthers,38.0,30.0,season 5,24.0,766.0,,
tamil thalaivas,u mumba,38.0,35.0,season 5,22.0,681.0,22.0,707.0
dabang delhi,jaipur pink panthers,35.0,34.0,season 5,,,,
bengaluru bulls,dabang delhi,35.0,32.0,season 5,22.0,689.0,,
haryana steelers,jaipur pink panthers,37.0,27.0,season 5,23.0,727.0,,
u.p. yoddha,jaipur pink panthers,53.0,32.0,season 5,23.0,762.0,,
gujarat fortunegiants,puneri paltan,44.0,20.0,season 5,24.0,775.0,24.0,766.0
bengal warriors,tamil thalaivas,34.0,30.0,season 5,24.0,749.0,22.0,681.0
